date,etf,short_score,short_annret,short_r2,short_dip,long_score,long_annret,long_r2,long_dip
20210113,513100.SH,0.031557843283848516,0.18490578120949008,0.17066985725067663,0.9926114061417687,0.27998238537709375,0.42615748603494175,0.6569927657075987,0.9926114061417687
20210114,513100.SH,0.030191697311038712,0.18201714734233887,0.16587281886279648,0.9926114061417687,0.276142388701971,0.4229318125604309,0.6529241369435037,0.9926114061417687
20210115,513100.SH,0.008505857989743286,0.11372681222442704,0.07479201978296846,0.9932511054223874,0.2714990648196657,0.41896359936619576,0.6480254256703613,0.9932511054223874
20210118,513100.SH,0.00011657069755899462,0.02562240127613169,0.00454956178005006,0.9932511054223874,0.26699340626318835,0.41521287437468546,0.6430277641686399,0.9932511054223874
20210119,513100.SH,-0.0003685738410413942,-0.034552853866085864,0.010666958002075622,0.9932511054223874,0.2625880158805965,0.41137278425687773,0.6383213132462014,0.9932511054223874
20210120,513100.SH,-0.004704152242448905,-0.0742344825495923,0.06336882915976816,0.9943767572633554,0.2591891414703265,0.4084634537985634,0.6345467117313939,0.9943767572633554
20210121,513100.SH,-0.00011856924945472177,-0.024725646431637105,0.004795395331019914,1.0076905150314612,0.25762378997086166,0.40711233072350783,0.6328076320189575,1.0076905150314612
20210122,513100.SH,4.909232068677018e-05,0.020069921846147087,0.002446064367519929,0.9993235625704622,0.2558746837952158,0.40559481513093343,0.630862807535187,0.9993235625704622
20210125,513100.SH,0.003552782370625241,0.0942479656013413,0.03769611734276712,0.9993235625704622,0.2548609581579539,0.4047188244837383,0.6297235086187454,0.9993235625704622
20210126,513100.SH,0.018052972844131626,0.1739584587435905,0.10377749362990829,0.9937374189219415,0.2536055015053589,0.40364824041942593,0.628283431241619,0.9937374189219415
20210127,513100.SH,0.04708228962322858,0.26870634605516974,0.175218376173229,0.9937374189219415,0.2532455051036861,0.4033373902230253,0.6278751021908832,0.9937374189219415
20210128,513100.SH,0.037859773981711344,0.24811137024794694,0.15259185398829833,0.9601152226900065,0.25155890508848366,0.4019989978836762,0.6257699805542192,0.9601152226900065
20210129,513100.SH,0.024312337362216833,0.21094151596051525,0.11525629391403303,0.9601152226900065,0.24908640694784587,0.39998030886403746,0.6227466738431768,0.9601152226900065
20210201,513100.SH,0.015051672088287813,0.17836739115727585,0.0843857836941505,0.9601152226900065,0.2460865514693379,0.39750354305836577,0.6190801459930756,0.9601152226900065
20210202,513100.SH,0.03507426364772834,0.24716199987633947,0.14190799421139477,0.9960711809567829,0.2447365076772566,0.39635022562507993,0.6174753837752587,0.9960711809567829
20210203,513100.SH,0.09957405031912964,0.3792096845021249,0.26258308895740157,0.9960711809567829,0.24424032333590198,0.3959260175572996,0.6168837421767939,0.9960711809567829
20210204,513100.SH,0.1804851357708023,0.483053075518991,0.37363417172510394,0.9902069886490097,0.2414666029460242,0.39337065292391804,0.6138399017598457,0.9902069886490097
20210205,513100.SH,0.3211984645185394,0.6326137556811262,0.5077323432094984,0.9902069886490097,0.24033613614164664,0.3923654724081247,0.6125313082891695,0.9902069886490097
20210208,513100.SH,0.45882773577661495,0.7703628617635212,0.5955995006382611,0.9902069886490097,0.2409992810156662,0.392921069832155,0.6133529085589999,0.9902069886490097
20210209,513100.SH,0.5251012992686831,0.8388506451717856,0.6259771060450805,0.9997795900374699,0.24291175704563608,0.39444298194842076,0.6158349068494782,0.9997795900374699
20210210,513100.SH,0.5666533292137743,0.8836232879055321,0.6412838332463178,0.9997795900374699,0.2452436097054158,0.39628127792489476,0.6188624680671784,0.9997795900374699
20210218,513100.SH,0.5537168477995552,0.8700493074376272,0.636420077650887,0.9953876564902262,0.24762592329041774,0.3981207221825962,0.6219870242696015,0.9953876564902262
20210219,513100.SH,0.599936796382879,0.9104096912062296,0.658974527817256,0.9953876564902262,0.2517395872156428,0.40110751683506907,0.6276112429953671,0.9953876564902262
20210222,513100.SH,0.5982204706605164,0.9090677459284471,0.6580592847341021,0.9911641263529931,0.25686684640375307,0.4046236317491081,0.6348290763279654,0.9911641263529931
20210223,513100.SH,0.4490502743720114,0.7927658175079257,0.5664349603059443,0.9841765099175397,0.26470978069501144,0.4094574219535383,0.6464891500368222,0.9841765099175397
