日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2020-11-12,,Cash,,,,,293.58,,,,,,,,0
2020-11-13,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.153,130173.7,9504.5,1.069,-,0,-1016.1,0股,7.88%,905694.18,14.37%
2020-11-13,基金,10年地债(511270.XSHG),多,3900股,3900股,104.691,408294.9,2203.5,104.126,-,0,-206.7,0股,0.54%,905694.18,45.08%
2020-11-13,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.385,64021,-3227.4,4.606,-,0,-496.4,0股,-4.8%,905694.18,7.07%
2020-11-13,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.89,94527,-3757.8,4.045,-,0,413.1,0股,-3.82%,905694.18,10.44%
2020-11-13,股票,长江电力(600900.XSHG),多,3800股,3800股,20.36,77368,342,20.27,-,0,-950,0股,0.44%,905694.18,8.54%
2020-11-13,股票,农业银行(601288.XSHG),多,41200股,41200股,3.18,131016,960,3.157,-,0,-1236,0股,0.74%,905694.18,14.47%
2020-11-13,,Cash,,,,,293.58,,,,,,,,0
2020-11-16,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.149,129722.1,9052.9,1.069,-,0,-451.6,0股,7.5%,902044.88,14.38%
2020-11-16,基金,10年地债(511270.XSHG),多,3900股,3900股,104.092,405958.8,-132.6,104.126,-,0,-2336.1,0股,-0.03%,902044.88,45%
2020-11-16,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.4,64240,-3008.4,4.606,-,0,219,0股,-4.47%,902044.88,7.12%
2020-11-16,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.888,94478.4,-3806.4,4.045,-,0,-48.6,0股,-3.87%,902044.88,10.47%
2020-11-16,股票,长江电力(600900.XSHG),多,3800股,3800股,19.98,75924,-1102,20.27,-,0,-1444,0股,-1.43%,902044.88,8.42%
2020-11-16,股票,农业银行(601288.XSHG),多,41200股,41200股,3.19,131428,1372,3.157,-,0,412,0股,1.05%,902044.88,14.57%
2020-11-16,,Cash,,,,,293.58,,,,,,,,0
2020-11-17,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.158,130738.2,10069,1.069,-,0,1016.1,0股,8.34%,900529.48,14.52%
2020-11-17,基金,10年地债(511270.XSHG),多,3900股,3900股,104.19,406341,249.6,104.126,-,0,382.2,0股,0.06%,900529.48,45.12%
2020-11-17,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.324,63130.4,-4118,4.606,-,0,-1109.6,0股,-6.12%,900529.48,7.01%
2020-11-17,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.881,94308.3,-3976.5,4.045,-,0,-170.1,0股,-4.05%,900529.48,10.47%
2020-11-17,股票,长江电力(600900.XSHG),多,3800股,3800股,19.55,74290,-2736,20.27,-,0,-1634,0股,-3.55%,900529.48,8.25%
2020-11-17,股票,农业银行(601288.XSHG),多,41200股,41200股,3.19,131428,1372,3.157,-,0,0,0股,1.05%,900529.48,14.59%
2020-11-17,,Cash,,,,,293.58,,,,,,,,0
2020-11-18,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.158,130738.2,10069,1.069,-,0,0,0股,8.34%,900873.18,14.51%
2020-11-18,基金,10年地债(511270.XSHG),多,3900股,3900股,104.158,406216.2,124.8,104.126,-,0,-124.8,0股,0.03%,900873.18,45.09%
2020-11-18,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.284,62546.4,-4702,4.606,-,0,-584,0股,-6.99%,900873.18,6.94%
2020-11-18,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.856,93700.8,-4584,4.045,-,0,-607.5,0股,-4.66%,900873.18,10.4%
2020-11-18,股票,长江电力(600900.XSHG),多,3800股,3800股,19.77,75126,-1900,20.27,-,0,836,0股,-2.47%,900873.18,8.34%
2020-11-18,股票,农业银行(601288.XSHG),多,41200股,41200股,3.21,132252,2196,3.157,-,0,824,0股,1.69%,900873.18,14.68%
2020-11-18,,Cash,,,,,293.58,,,,,,,,0
2020-11-19,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.162,131189.8,10520.6,1.069,-,0,451.6,0股,8.72%,901773.88,14.55%
2020-11-19,基金,10年地债(511270.XSHG),多,3900股,3900股,104.142,406153.8,62.4,104.126,-,0,-62.4,0股,0.02%,901773.88,45.04%
2020-11-19,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.276,62429.6,-4818.8,4.606,-,0,-116.8,0股,-7.17%,901773.88,6.92%
2020-11-19,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.837,93239.1,-5045.7,4.045,-,0,-461.7,0股,-5.13%,901773.88,10.34%
2020-11-19,股票,长江电力(600900.XSHG),多,3800股,3800股,19.84,75392,-1634,20.27,-,0,266,0股,-2.12%,901773.88,8.36%
2020-11-19,股票,农业银行(601288.XSHG),多,41200股,41200股,3.23,133076,3020,3.157,-,0,824,0股,2.32%,901773.88,14.76%
2020-11-19,,Cash,,,,,293.58,,,,,,,,0
2020-11-20,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.177,132883.3,12214.1,1.069,-,0,1693.5,0股,10.12%,901742.78,14.74%
2020-11-20,基金,10年地债(511270.XSHG),多,3900股,3900股,103.9,405210,-881.4,104.126,-,0,-943.8,0股,-0.22%,901742.78,44.94%
2020-11-20,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.305,62853,-4395.4,4.606,-,0,423.4,0股,-6.54%,901742.78,6.97%
2020-11-20,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.843,93384.9,-4899.9,4.045,-,0,145.8,0股,-4.99%,901742.78,10.36%
2020-11-20,股票,长江电力(600900.XSHG),多,3800股,3800股,19.81,75278,-1748,20.27,-,0,-114,0股,-2.27%,901742.78,8.35%
2020-11-20,股票,农业银行(601288.XSHG),多,41200股,41200股,3.2,131840,1784,3.157,-,0,-1236,0股,1.37%,901742.78,14.62%
2020-11-20,,Cash,,,,,293.58,,,,,,,,0
2020-11-23,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.192,134576.8,13907.6,1.069,-,0,1693.5,0股,11.53%,905510.38,14.86%
2020-11-23,基金,10年地债(511270.XSHG),多,3900股,3900股,103.999,405596.1,-495.3,104.126,-,0,386.1,0股,-0.12%,905510.38,44.79%
2020-11-23,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.271,62356.6,-4891.8,4.606,-,0,-496.4,0股,-7.27%,905510.38,6.89%
2020-11-23,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.851,93579.3,-4705.5,4.045,-,0,194.4,0股,-4.79%,905510.38,10.33%
2020-11-23,股票,长江电力(600900.XSHG),多,3800股,3800股,19.9,75620,-1406,20.27,-,0,342,0股,-1.83%,905510.38,8.35%
2020-11-23,股票,农业银行(601288.XSHG),多,41200股,41200股,3.24,133488,3432,3.157,-,0,1648,0股,2.64%,905510.38,14.74%
